AMPsuite Statement for On The Way Records,,,,,,,,,,,,,,,,,
Period 2024-10-01 to 2024-10-31,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
This Period: ,,,£ 123.42,,,,,,,,,,,,,,
Bought Forward: ,,,£ 12.58,,,,,,,,,,,,,,
PAYABLE: ,,,£ 136.01,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
You are due a payment of £ 136.01,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Period From,Period To,Transaction Date,Distributor,UPC,Cat. No.,ISRC,Label,Release Title,Track Title,Mix Name,Artist,Content Type,Delivery Method,Territory,Suitebeats Comp.,Quantity,Revenue
2024-09-01,2024-09-30,,YouTube (Subscription),723277728353,,CA5KR2488300,On The Way Records,,You Make Me Feel,,"Brannco, Sevenkey, Anne Mulcahy",Track,Stream,BR,No,3,0.004187
2024-09-01,2024-09-30,,YouTube (Subscription),723277606804,,CA5KR2471184,On The Way Records,,Better Now,,"Volyri, RESZ",Track,Stream,BR,No,1,0.001194
2024-09-01,2024-09-30,,YouTube (Subscription),795397991993,,CA5KR2376226,On The Way Records,,Rain,,Paul Amber,Track,Stream,BR,No,2,0.00557
2024-09-01,2024-09-30,,YouTube (Subscription),795397991993,,CA5KR2376226,On The Way Records,,Rain,,Paul Amber,Track,Stream,BR,No,1,0.001194
2024-09-01,2024-09-30,,YouTube (Subscription),795397938691,,CA5KR2370827,On The Way Records,,Call Me,,Hedclem,Track,Stream,BR,No,1,0.001194
2024-09-01,2024-09-30,,YouTube (Subscription),723277646886,,CA5KR2476642,On The Way Records,,Tension,,KuKs,Track,Stream,BR,No,2,0.00557
2024-09-01,2024-09-30,,YouTube (Subscription),723277646886,,CA5KR2476642,On The Way Records,,Tension,,KuKs,Track,Stream,BR,No,1,0.001194
2024-09-01,2024-09-30,,YouTube (Subscription),723277663982,,CA5KR2479239,On The Way Records,,Lies,,Steek,Track,Stream,BR,No,1,0.001194
2024-09-01,2024-09-30,,YouTube (Subscription),795397523132,,CA5KR2307741,On The Way Records,,Break My Body (Original Mix),,WCX,Track,Stream,BR,No,1,0.002785
2024-09-01,2024-09-30,,YouTube (Subscription),723277386591,,CA5KR2432424,On The Way Records,,Breathe,,Austin Feldman,Track,Stream,BR,No,1,0.002785
